,book_id_title,book_id,cover_image_uri,book_title,book_series,book_settings,book_characters,book_language,year_first_published,authorlink,author,num_pages,format,genres,people_curr_read,peop_want_to_read,num_ratings,num_reviews,average_rating,rating_distribution,awards,awards_count,awards_bins
1059,398753.The_Song_of_Bernadette,398753,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347603797i/398753.jpg,The Song of Bernadette,,,,English,1941,https://www.goodreads.com/author/show/57432.Franz_Werfel,Franz Werfel,600.0,Paperback,"['Fiction', 'Historical Fiction', 'Religion', 'Catholic', 'Classics', 'Faith', 'Historical']",78.0,2224.0,1220,155,4.21,"{'5 Stars': 573, '4 Stars': 408, '3 Stars': 181, '2 Stars': 42, '1 Star': 16}",[],2,"(1.307, 140.6]"
1062,3993839-patient-zero,3993839,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1439953244i/3993839.jpg,Patient Zero,['Joe Ledger'],"['Baltimore, Maryland', 'Delaware', 'Afghanistan', 'Maryland']","['Joe Ledger', 'Sebastian Gault', 'Grace Courtland', 'Rudy Sanchez', 'Mr. Church', 'Bunny', 'Top', 'Amirah']",English,2009,https://www.goodreads.com/author/show/72451.Jonathan_Maberry,Jonathan Maberry,421.0,Paperback,"['Horror', 'Zombies', 'Thriller', 'Fiction', 'Science Fiction', 'Audiobook', 'Fantasy']",900.0,29800.0,30495,2448,4.0,"{'5 Stars': 11324, '4 Stars': 10916, '3 Stars': 5917, '2 Stars': 1586, '1 Star': 752}",['Bram Stoker Award Nominee for Best Novel (2009)'],51,"(1.307, 140.6]"
1065,40034669-the-octunnumi-fosbit-files-prologue,40034669,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1525430431i/40034669.jpg,The Octunnumi Fosbit Files Prologue,['The Octunnumi Fosbit Files'],,,English,2020,https://www.goodreads.com/author/show/18002918.Trevor_Alan_Foris,Trevor Alan Foris,520.0,Paperback,"['Fantasy', 'Fiction', 'Young Adult', 'Science Fiction', 'Adventure', 'New Adult', 'Adult']",41600.0,41600.0,10209,524,4.04,"{'5 Stars': 4035, '4 Stars': 3990, '3 Stars': 1143, '2 Stars': 645, '1 Star': 396}",[],2,"(1.307, 140.6]"
1066,400412.The_Waste_Land_and_Other_Poems,400412,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1372992691i/400412.jpg,The Waste Land and Other Poems,,,,English,1922,https://www.goodreads.com/author/show/18540.T_S_Eliot,T.S. Eliot,88.0,Paperback,"['Poetry', 'Classics', 'Fiction', 'Literature', '20th Century', 'American', 'School']",1228.0,92700.0,71651,1758,4.22,"{'5 Stars': 35384, '4 Stars': 21986, '3 Stars': 10379, '2 Stars': 2616, '1 Star': 1286}",[],2,"(1.307, 140.6]"
1067,400818.Barnaby_Rudge,400818,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1174443154i/400818.jpg,Barnaby Rudge,,"['London, England']","['Lord George Gordon', 'Barnaby Rudge', 'John Willet', 'Dennis the Hangman', 'Hugh the savage ostler.']",English,1841,https://www.goodreads.com/author/show/239579.Charles_Dickens,Charles Dickens,634.0,Hardcover,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', '19th Century', 'Victorian', 'British Literature']",612.0,12000.0,11161,843,3.82,"{'5 Stars': 3277, '4 Stars': 3928, '3 Stars': 2926, '2 Stars': 777, '1 Star': 253}","[""jy'z@ d. jbr `Sfwr ltrjm@ ladb wldrst lnqdy@ mn lmrkz lqwmy lltrjm@ bmSr"", ""jy'z@ jbr `Sfwr ltrjm@ ladb""]",107,"(1.307, 140.6]"
1070,401514.Alive,401514,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404247131i/401514.jpg,Alive: The Story of the Andes Survivors,,"['Chile', 'Argentina', 'Andes Mountains', 'Santiago', 'Montevideo']","['Nando Parrado', 'Panchito Abal', 'Arturo Nogueira', 'Susanna Parrado', 'Marcelo Perez', 'Liliana Methol', 'Fito Strauch', 'Eduardo Strauch', 'Daniel Fernandez', 'Gustavo Zerbino', 'Roberto Canessa', 'Antonio Vizintin', 'Carlitos Paez', 'Pancho Delgado', 'Coche Inciarte', 'Pedro Algorta', 'Javier Methol', 'Moncho Sabella', 'Bobby Francois', 'Roy Harley', 'Carlos Valeta', 'Diego Storm', 'Rafael Echavarren', 'Entique Platero', 'Mrs. Mariani']",English,1974,https://www.goodreads.com/author/show/40311.Piers_Paul_Read,Piers Paul Read,318.0,Paperback,"['Nonfiction', 'History', 'Survival', 'Adventure', 'Biography', 'Travel', 'Memoir']",2172.0,41300.0,79862,2371,4.14,"{'5 Stars': 31462, '4 Stars': 31626, '3 Stars': 13797, '2 Stars': 2087, '1 Star': 890}",[],2,"(1.307, 140.6]"
1072,40200.The_Crimson_Petal_and_the_White,40200,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1408937589i/40200.jpg,The Crimson Petal and the White,,"['London, England', 'England', 'United Kingdom']","['Sugar', 'William Rackham', 'Agnes Rackham', 'Henry Rackham', 'Sophie Rackham', 'Emmeline Fox', 'Caroline (The Crimson Petal and the White)']",English,2002,https://www.goodreads.com/author/show/16272.Michel_Faber,Michel Faber,922.0,Paperback,"['Historical Fiction', 'Fiction', 'Historical', 'Victorian', 'Romance', 'British Literature', 'Literary Fiction']",2029.0,43800.0,44364,3667,3.89,"{'5 Stars': 15237, '4 Stars': 15328, '3 Stars': 8992, '2 Stars': 3186, '1 Star': 1621}","['James Tait Black Memorial Prize Nominee for Fiction (2003)', 'Premio letterario Giuseppe Acerbi (2010)']",106,"(1.307, 140.6]"
1074,402838.Wieland_or_The_Transformation,402838,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348476116i/402838.jpg,"Wieland, or, The Transformation",['Carwin'],,,English,1798,https://www.goodreads.com/author/show/46594.Charles_Brockden_Brown,Charles Brockden Brown,204.0,Paperback,"['Classics', 'Fiction', 'Horror', 'Gothic', 'Mystery', '18th Century', 'Literature']",134.0,1893.0,2120,228,3.2,"{'5 Stars': 250, '4 Stars': 570, '3 Stars': 773, '2 Stars': 405, '1 Star': 122}",[],2,"(1.307, 140.6]"
1075,4031.Lunar_Park,4031,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1385309748i/4031.jpg,Lunar Park,,,['Patrick Bateman'],English,2005,https://www.goodreads.com/author/show/2751.Bret_Easton_Ellis,Bret Easton Ellis,404.0,Paperback,"['Fiction', 'Horror', 'Thriller', 'Mystery', 'Contemporary', 'Novels', 'American']",555.0,31100.0,29904,1421,3.65,"{'5 Stars': 7196, '4 Stars': 10297, '3 Stars': 8267, '2 Stars': 3063, '1 Star': 1081}",['World Fantasy Award Nominee for Best Novel (2006)'],53,"(1.307, 140.6]"
1076,403277.The_Land_That_Time_Forgot_Collection,403277,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328818810i/403277.jpg,The Land That Time Forgot Collection,['Caspak'],['Caspak (Caprona)'],,English,1918,https://www.goodreads.com/author/show/10885.Edgar_Rice_Burroughs,Edgar Rice Burroughs,434.0,Paperback,"['Science Fiction', 'Fantasy', 'Classics', 'Fiction', 'Adventure', 'Science Fiction Fantasy', 'Pulp']",133.0,4671.0,8066,263,3.89,"{'5 Stars': 2368, '4 Stars': 2926, '3 Stars': 2326, '2 Stars': 393, '1 Star': 53}",[],2,"(1.307, 140.6]"
